file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
THE_ANALYSIS_OF_MIND.txt,1,30449,0.7349,0.7581,0.6556,0.508,0.4991,0.0138
THE_ANALYSIS_OF_MIND.txt,2,30449,0.7349,0.7581,0.701,0.511,0.4917,0.0147
THE_ANALYSIS_OF_MIND.txt,3,30449,0.7349,0.7581,0.6257,0.4987,0.4951,0.0143
THE_ANALYSIS_OF_MIND.txt,4,30449,0.7349,0.7581,0.6859,0.5324,0.5082,0.0175
THE_ANALYSIS_OF_MIND.txt,5,30449,0.7349,0.7581,0.7217,0.5086,0.5051,0.0145
THE_ANALYSIS_OF_MIND.txt,6,30449,0.7349,0.7581,0.7171,0.5009,0.5054,0.0172
THE_ANALYSIS_OF_MIND.txt,7,30449,0.7349,0.7581,0.6907,0.5095,0.4987,0.0132
THE_ANALYSIS_OF_MIND.txt,8,30449,0.7349,0.7581,0.6894,0.5105,0.5071,0.0203
THE_ANALYSIS_OF_MIND.txt,9,30449,0.7349,0.7581,0.6507,0.5217,0.5063,0.0142
THE_ANALYSIS_OF_MIND.txt,10,30449,0.7349,0.7581,0.7162,0.4887,0.5043,0.0179
THE_ANALYSIS_OF_MIND.txt,11,30449,0.7349,0.7581,0.6487,0.5162,0.4938,0.0166
THE_ANALYSIS_OF_MIND.txt,12,30449,0.7349,0.7581,0.6455,0.4947,0.5044,0.0121
THE_ANALYSIS_OF_MIND.txt,13,30449,0.7349,0.7581,0.6986,0.5308,0.5024,0.0085
THE_ANALYSIS_OF_MIND.txt,14,30449,0.7349,0.7581,0.6095,0.4705,0.4976,0.0164
THE_ANALYSIS_OF_MIND.txt,15,30449,0.7349,0.7581,0.653,0.5047,0.5052,0.0074
THE_ANALYSIS_OF_MIND.txt,16,30449,0.7349,0.7581,0.5941,0.4837,0.4978,0.0101
THE_ANALYSIS_OF_MIND.txt,17,30449,0.7349,0.7581,0.6264,0.5016,0.5032,0.0212
THE_ANALYSIS_OF_MIND.txt,18,30449,0.7349,0.7581,0.6266,0.4958,0.5059,0.0129
THE_ANALYSIS_OF_MIND.txt,19,30449,0.7349,0.7581,0.6924,0.4933,0.4977,0.0159
THE_ANALYSIS_OF_MIND.txt,20,30449,0.7349,0.7581,0.6541,0.4985,0.4881,0.0188
darwin_beagle.txt,1,84931,0.6222,0.6656,0.7316,0.4888,0.4946,0.0216
darwin_beagle.txt,2,84931,0.6222,0.6656,0.7053,0.4925,0.5089,0.0105
darwin_beagle.txt,3,84931,0.6222,0.6656,0.7413,0.5067,0.4998,0.0144
darwin_beagle.txt,4,84931,0.6222,0.6656,0.7466,0.5057,0.4998,0.0112
darwin_beagle.txt,5,84931,0.6222,0.6656,0.7434,0.5206,0.5038,0.0144
darwin_beagle.txt,6,84931,0.6222,0.6656,0.6706,0.5006,0.5052,0.0141
darwin_beagle.txt,7,84931,0.6222,0.6656,0.6539,0.5131,0.4997,0.0117
darwin_beagle.txt,8,84931,0.6222,0.6656,0.6498,0.4943,0.4993,0.0108
darwin_beagle.txt,9,84931,0.6222,0.6656,0.6829,0.4852,0.5033,0.007
darwin_beagle.txt,10,84931,0.6222,0.6656,0.6826,0.5056,0.5009,0.0123
darwin_beagle.txt,11,84931,0.6222,0.6656,0.7429,0.5051,0.4967,0.0128
darwin_beagle.txt,12,84931,0.6222,0.6656,0.7068,0.4916,0.5019,0.0156
darwin_beagle.txt,13,84931,0.6222,0.6656,0.6334,0.494,0.503,0.0148
darwin_beagle.txt,14,84931,0.6222,0.6656,0.6996,0.4892,0.4977,0.012
darwin_beagle.txt,15,84931,0.6222,0.6656,0.6931,0.4871,0.4981,0.0142
darwin_beagle.txt,16,84931,0.6222,0.6656,0.6151,0.5128,0.5026,0.0153
darwin_beagle.txt,17,84931,0.6222,0.6656,0.6517,0.484,0.4941,0.0158
darwin_beagle.txt,18,84931,0.6222,0.6656,0.7144,0.5049,0.5001,0.0122
darwin_beagle.txt,19,84931,0.6222,0.6656,0.6668,0.4995,0.4971,0.0148
darwin_beagle.txt,20,84931,0.6222,0.6656,0.6528,0.4752,0.497,0.0132
darwin_origin.txt,1,58913,0.7694,0.8044,0.6724,0.5501,0.4941,0.0064
darwin_origin.txt,2,58913,0.7694,0.8044,0.7657,0.5051,0.4964,0.0146
darwin_origin.txt,3,58913,0.7694,0.8044,0.7921,0.5021,0.4982,0.0096
darwin_origin.txt,4,58913,0.7694,0.8044,0.7005,0.5207,0.5058,0.0146
darwin_origin.txt,5,58913,0.7694,0.8044,0.7311,0.5307,0.5011,0.0087
darwin_origin.txt,6,58913,0.7694,0.8044,0.8078,0.4846,0.4975,0.0118
darwin_origin.txt,7,58913,0.7694,0.8044,0.7692,0.4992,0.5076,0.0119
darwin_origin.txt,8,58913,0.7694,0.8044,0.7252,0.4927,0.511,0.0181
darwin_origin.txt,9,58913,0.7694,0.8044,0.6633,0.4904,0.5018,0.0158
darwin_origin.txt,10,58913,0.7694,0.8044,0.6814,0.4868,0.492,0.0089
darwin_origin.txt,11,58913,0.7694,0.8044,0.6537,0.5106,0.5038,0.0158
darwin_origin.txt,12,58913,0.7694,0.8044,0.6918,0.4986,0.5013,0.013
darwin_origin.txt,13,58913,0.7694,0.8044,0.644,0.5199,0.4991,0.0154
darwin_origin.txt,14,58913,0.7694,0.8044,0.7165,0.5111,0.4971,0.0088
darwin_origin.txt,15,58913,0.7694,0.8044,0.6949,0.5029,0.4992,0.0168
darwin_origin.txt,16,58913,0.7694,0.8044,0.6743,0.5149,0.5025,0.0124
darwin_origin.txt,17,58913,0.7694,0.8044,0.735,0.4918,0.4922,0.0121
darwin_origin.txt,18,58913,0.7694,0.8044,0.669,0.4885,0.5016,0.0147
darwin_origin.txt,19,58913,0.7694,0.8044,0.6589,0.483,0.5008,0.0145
darwin_origin.txt,20,58913,0.7694,0.8044,0.7163,0.487,0.4993,0.0136
davidcopperfield.txt,1,134409,0.7281,0.7813,0.6617,0.5542,0.4955,0.0081
davidcopperfield.txt,2,134409,0.7281,0.7813,0.6719,0.5265,0.4982,0.0151
davidcopperfield.txt,3,134409,0.7281,0.7813,0.7123,0.5073,0.4919,0.0087
davidcopperfield.txt,4,134409,0.7281,0.7813,0.7018,0.5259,0.5004,0.012
davidcopperfield.txt,5,134409,0.7281,0.7813,0.6416,0.4821,0.5019,0.0118
davidcopperfield.txt,6,134409,0.7281,0.7813,0.66,0.4926,0.4984,0.0074
davidcopperfield.txt,7,134409,0.7281,0.7813,0.6317,0.5119,0.5003,0.0059
davidcopperfield.txt,8,134409,0.7281,0.7813,0.6603,0.4958,0.5011,0.0117
davidcopperfield.txt,9,134409,0.7281,0.7813,0.6202,0.5067,0.5079,0.0091
davidcopperfield.txt,10,134409,0.7281,0.7813,0.6562,0.4885,0.4974,0.0129
davidcopperfield.txt,11,134409,0.7281,0.7813,0.6741,0.5151,0.4993,0.0085
davidcopperfield.txt,12,134409,0.7281,0.7813,0.6271,0.4861,0.5019,0.0104
davidcopperfield.txt,13,134409,0.7281,0.7813,0.6494,0.5161,0.4998,0.0096
davidcopperfield.txt,14,134409,0.7281,0.7813,0.61,0.4854,0.4958,0.0136
davidcopperfield.txt,15,134409,0.7281,0.7813,0.5887,0.4993,0.5006,0.0111
davidcopperfield.txt,16,134409,0.7281,0.7813,0.6057,0.4993,0.4986,0.0143
davidcopperfield.txt,17,134409,0.7281,0.7813,0.6108,0.5034,0.4952,0.0071
davidcopperfield.txt,18,134409,0.7281,0.7813,0.6178,0.5013,0.5025,0.0109
davidcopperfield.txt,19,134409,0.7281,0.7813,0.6025,0.4776,0.4976,0.0055
davidcopperfield.txt,20,134409,0.7281,0.7813,0.6402,0.4884,0.5018,0.0114
doriangray.txt,1,16776,0.8453,0.8044,0.5728,0.5574,0.506,0.0143
doriangray.txt,2,16776,0.8453,0.8044,0.7816,0.5002,0.5012,0.0141
doriangray.txt,3,16776,0.8453,0.8044,0.7493,0.5075,0.4915,0.0122
doriangray.txt,4,16776,0.8453,0.8044,0.6685,0.4734,0.4965,0.0167
doriangray.txt,5,16776,0.8453,0.8044,0.6237,0.4979,0.5015,0.0153
doriangray.txt,6,16776,0.8453,0.8044,0.6533,0.485,0.5027,0.0181
doriangray.txt,7,16776,0.8453,0.8044,0.631,0.5204,0.5047,0.0185
doriangray.txt,8,16776,0.8453,0.8044,0.6421,0.4963,0.5078,0.0125
doriangray.txt,9,16776,0.8453,0.8044,0.6501,0.4925,0.5091,0.0112
doriangray.txt,10,16776,0.8453,0.8044,0.6467,0.502,0.4974,0.019
doriangray.txt,11,16776,0.8453,0.8044,0.5799,0.4817,0.5005,0.0206
doriangray.txt,12,16776,0.8453,0.8044,0.5616,0.5152,0.5071,0.0198
doriangray.txt,13,16776,0.8453,0.8044,0.6062,0.4874,0.4988,0.0249
doriangray.txt,14,16776,0.8453,0.8044,0.5529,0.5098,0.5023,0.0135
doriangray.txt,15,16776,0.8453,0.8044,0.6422,0.4734,0.5038,0.0224
doriangray.txt,16,16776,0.8453,0.8044,0.5843,0.462,0.4993,0.0195
doriangray.txt,17,16776,0.8453,0.8044,0.5683,0.4963,0.496,0.0165
doriangray.txt,18,16776,0.8453,0.8044,0.5988,0.5079,0.4927,0.0173
doriangray.txt,19,16776,0.8453,0.8044,0.5662,0.4641,0.4957,0.0161
doriangray.txt,20,16776,0.8453,0.8044,0.5304,0.5224,0.4962,0.0179
eng_missisipi.txt,1,52741,0.7763,0.8275,0.7661,0.5263,0.5025,0.011
eng_missisipi.txt,2,52741,0.7763,0.8275,0.7411,0.5321,0.4944,0.0144
eng_missisipi.txt,3,52741,0.7763,0.8275,0.7633,0.511,0.5042,0.0169
eng_missisipi.txt,4,52741,0.7763,0.8275,0.7759,0.5215,0.4952,0.0055
eng_missisipi.txt,5,52741,0.7763,0.8275,0.7212,0.5168,0.4973,0.0135
eng_missisipi.txt,6,52741,0.7763,0.8275,0.681,0.5029,0.4992,0.0117
eng_missisipi.txt,7,52741,0.7763,0.8275,0.6468,0.5035,0.5022,0.0168
eng_missisipi.txt,8,52741,0.7763,0.8275,0.7198,0.4964,0.495,0.008
eng_missisipi.txt,9,52741,0.7763,0.8275,0.7108,0.5299,0.5018,0.0164
eng_missisipi.txt,10,52741,0.7763,0.8275,0.6996,0.5267,0.5041,0.0231
eng_missisipi.txt,11,52741,0.7763,0.8275,0.6687,0.5081,0.5013,0.0118
eng_missisipi.txt,12,52741,0.7763,0.8275,0.6462,0.5095,0.5056,0.015
eng_missisipi.txt,13,52741,0.7763,0.8275,0.6445,0.4743,0.5039,0.0072
eng_missisipi.txt,14,52741,0.7763,0.8275,0.6571,0.4993,0.4982,0.0128
eng_missisipi.txt,15,52741,0.7763,0.8275,0.6749,0.4996,0.502,0.0143
eng_missisipi.txt,16,52741,0.7763,0.8275,0.6358,0.5193,0.4956,0.0166
eng_missisipi.txt,17,52741,0.7763,0.8275,0.6282,0.5054,0.4975,0.0177
eng_missisipi.txt,18,52741,0.7763,0.8275,0.5843,0.5042,0.4987,0.0124
eng_missisipi.txt,19,52741,0.7763,0.8275,0.6312,0.5077,0.5044,0.0115
eng_missisipi.txt,20,52741,0.7763,0.8275,0.6187,0.5151,0.4981,0.009
eng_moby.txt,1,82773,0.6998,0.7581,0.6733,0.5071,0.4959,0.0119
eng_moby.txt,2,82773,0.6998,0.7581,0.714,0.499,0.4978,0.0116
eng_moby.txt,3,82773,0.6998,0.7581,0.7537,0.5104,0.5023,0.0111
eng_moby.txt,4,82773,0.6998,0.7581,0.7999,0.4925,0.4934,0.007
eng_moby.txt,5,82773,0.6998,0.7581,0.6835,0.4994,0.4967,0.0157
eng_moby.txt,6,82773,0.6998,0.7581,0.7202,0.5096,0.5014,0.0124
eng_moby.txt,7,82773,0.6998,0.7581,0.7121,0.505,0.4973,0.0156
eng_moby.txt,8,82773,0.6998,0.7581,0.6904,0.5034,0.4893,0.0109
eng_moby.txt,9,82773,0.6998,0.7581,0.7322,0.4973,0.4943,0.0128
eng_moby.txt,10,82773,0.6998,0.7581,0.6542,0.4876,0.4977,0.0139
eng_moby.txt,11,82773,0.6998,0.7581,0.6878,0.5074,0.5007,0.0143
eng_moby.txt,12,82773,0.6998,0.7581,0.6546,0.5051,0.4973,0.0085
eng_moby.txt,13,82773,0.6998,0.7581,0.6734,0.4821,0.5047,0.0087
eng_moby.txt,14,82773,0.6998,0.7581,0.6802,0.4744,0.5029,0.0122
eng_moby.txt,15,82773,0.6998,0.7581,0.643,0.4972,0.4946,0.011
eng_moby.txt,16,82773,0.6998,0.7581,0.6277,0.4855,0.5022,0.017
eng_moby.txt,17,82773,0.6998,0.7581,0.6471,0.5257,0.4927,0.0115
eng_moby.txt,18,82773,0.6998,0.7581,0.6521,0.5106,0.5008,0.0124
eng_moby.txt,19,82773,0.6998,0.7581,0.6363,0.4911,0.5052,0.0103
eng_moby.txt,20,82773,0.6998,0.7581,0.6602,0.477,0.4983,0.0112
eng_pride.txt,1,42364,0.6359,0.6656,0.5819,0.5045,0.4958,0.0106
eng_pride.txt,2,42364,0.6359,0.6656,0.6961,0.4843,0.5045,0.0134
eng_pride.txt,3,42364,0.6359,0.6656,0.6783,0.5375,0.4998,0.011
eng_pride.txt,4,42364,0.6359,0.6656,0.7173,0.5217,0.5004,0.017
eng_pride.txt,5,42364,0.6359,0.6656,0.6481,0.5153,0.4994,0.0193
eng_pride.txt,6,42364,0.6359,0.6656,0.6723,0.457,0.4972,0.011
eng_pride.txt,7,42364,0.6359,0.6656,0.5779,0.4974,0.4951,0.0155
eng_pride.txt,8,42364,0.6359,0.6656,0.6534,0.4941,0.4952,0.0133
eng_pride.txt,9,42364,0.6359,0.6656,0.6138,0.4901,0.503,0.01
eng_pride.txt,10,42364,0.6359,0.6656,0.636,0.4748,0.5038,0.009
eng_pride.txt,11,42364,0.6359,0.6656,0.5651,0.4881,0.5037,0.0153
eng_pride.txt,12,42364,0.6359,0.6656,0.6253,0.4832,0.5058,0.0159
eng_pride.txt,13,42364,0.6359,0.6656,0.5921,0.4919,0.4959,0.0154
eng_pride.txt,14,42364,0.6359,0.6656,0.599,0.4873,0.4985,0.0109
eng_pride.txt,15,42364,0.6359,0.6656,0.597,0.4898,0.503,0.0196
eng_pride.txt,16,42364,0.6359,0.6656,0.596,0.5001,0.4963,0.0098
eng_pride.txt,17,42364,0.6359,0.6656,0.5923,0.4993,0.496,0.0112
eng_pride.txt,18,42364,0.6359,0.6656,0.583,0.5065,0.5009,0.0142
eng_pride.txt,19,42364,0.6359,0.6656,0.599,0.5151,0.5005,0.0212
eng_pride.txt,20,42364,0.6359,0.6656,0.5776,0.4928,0.4884,0.0147
eng_quixote.txt,1,147279,0.7134,0.7581,0.6648,0.5594,0.4972,0.0133
eng_quixote.txt,2,147279,0.7134,0.7581,0.7046,0.5058,0.4983,0.0082
